id,created_at,trigger_type,trigger_words,response_text
53,2025-06-02T12:48:44.752434,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
54,2025-06-02T12:48:44.752437,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
55,2025-06-02T12:48:44.752440,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
56,2025-06-02T12:48:44.752443,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
57,2025-06-02T12:48:44.752447,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
58,2025-06-02T12:48:44.752593,thanks,"{much appreciated,thanks a lot}",Glad I could help!
59,2025-06-02T12:48:44.752604,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
60,2025-06-02T12:48:44.752609,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
61,2025-06-02T12:48:44.752614,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
62,2025-06-02T12:48:44.752621,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
63,2025-06-02T12:48:44.752626,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
64,2025-06-02T12:48:44.752631,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
65,2025-06-02T12:48:44.752636,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
66,2025-06-02T12:48:44.752643,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
67,2025-06-02T12:48:44.752647,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
68,2025-06-02T12:48:44.752650,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
69,2025-06-02T12:48:44.752652,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
70,2025-06-02T12:48:44.752655,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
71,2025-06-02T12:48:44.752658,thanks,"{much appreciated,thanks a lot}",Glad I could help!
72,2025-06-02T12:48:44.752660,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
73,2025-06-02T12:48:44.752663,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
74,2025-06-02T12:48:44.752666,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
75,2025-06-02T12:48:44.752669,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
76,2025-06-02T12:48:44.752672,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
77,2025-06-02T12:48:44.752675,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
78,2025-06-02T12:48:44.752678,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
79,2025-06-02T12:48:44.752681,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
80,2025-06-02T12:48:44.752684,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
81,2025-06-02T12:48:44.752686,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
82,2025-06-02T12:48:44.752691,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
83,2025-06-02T12:48:44.752693,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
84,2025-06-02T12:48:44.752696,thanks,"{much appreciated,thanks a lot}",Glad I could help!
85,2025-06-02T12:48:44.752698,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
86,2025-06-02T12:48:44.752701,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
87,2025-06-02T12:48:44.752704,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
88,2025-06-02T12:48:44.752706,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
89,2025-06-02T12:48:44.752709,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
90,2025-06-02T12:48:44.752712,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
91,2025-06-02T12:48:44.752715,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
92,2025-06-02T12:48:44.752718,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
93,2025-06-02T12:48:44.752721,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
94,2025-06-02T12:48:44.752724,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
95,2025-06-02T12:48:44.752726,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
96,2025-06-02T12:48:44.752729,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
97,2025-06-02T12:48:44.752731,thanks,"{much appreciated,thanks a lot}",Glad I could help!
98,2025-06-02T12:48:44.752734,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
99,2025-06-02T12:48:44.752736,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
100,2025-06-02T12:48:44.752739,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
101,2025-06-02T12:48:44.752743,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
102,2025-06-02T12:48:44.752747,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
103,2025-06-02T12:48:44.752752,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
104,2025-06-02T12:48:44.752757,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
105,2025-06-02T12:48:44.752762,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
106,2025-06-02T12:48:44.752767,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
107,2025-06-02T12:48:44.752772,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
108,2025-06-02T12:48:44.752776,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
109,2025-06-02T12:48:44.752781,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
110,2025-06-02T12:48:44.752786,thanks,"{much appreciated,thanks a lot}",Glad I could help!
111,2025-06-02T12:48:44.752791,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
112,2025-06-02T12:48:44.752796,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
113,2025-06-02T12:48:44.752800,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
114,2025-06-02T12:48:44.752805,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
115,2025-06-02T12:48:44.752810,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
116,2025-06-02T12:48:44.752815,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
117,2025-06-02T12:48:44.752820,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
118,2025-06-02T12:48:44.752825,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
119,2025-06-02T12:48:44.752830,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
120,2025-06-02T12:48:44.752834,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
121,2025-06-02T12:48:44.752838,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
122,2025-06-02T12:48:44.752843,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
123,2025-06-02T12:48:44.752847,thanks,"{much appreciated,thanks a lot}",Glad I could help!
124,2025-06-02T12:48:44.752852,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
125,2025-06-02T12:48:44.752858,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
126,2025-06-02T12:48:44.752864,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
127,2025-06-02T12:48:44.752868,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
128,2025-06-02T12:48:44.752873,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
129,2025-06-02T12:48:44.752878,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
130,2025-06-02T12:48:44.752884,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
131,2025-06-02T12:48:44.752889,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
132,2025-06-02T12:48:44.752894,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
133,2025-06-02T12:48:44.752901,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
134,2025-06-02T12:48:44.752905,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
135,2025-06-02T12:48:44.752910,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
136,2025-06-02T12:48:44.752914,thanks,"{much appreciated,thanks a lot}",Glad I could help!
137,2025-06-02T12:48:44.752919,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
138,2025-06-02T12:48:44.752923,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
139,2025-06-02T12:48:44.752929,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
140,2025-06-02T12:48:44.752934,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
141,2025-06-02T12:48:44.752940,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
142,2025-06-02T12:48:44.752945,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
143,2025-06-02T12:48:44.752950,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
144,2025-06-02T12:48:44.752955,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
145,2025-06-02T12:48:44.752960,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
146,2025-06-02T12:48:44.752964,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
147,2025-06-02T12:48:44.752968,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
148,2025-06-02T12:48:44.752974,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
149,2025-06-02T12:48:44.752979,thanks,"{much appreciated,thanks a lot}",Glad I could help!
150,2025-06-02T12:48:44.752987,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
151,2025-06-02T12:48:44.752992,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
152,2025-06-02T12:48:44.752997,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
153,2025-06-02T12:48:44.753002,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
154,2025-06-02T12:48:44.753007,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
155,2025-06-02T12:48:44.753011,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
156,2025-06-02T12:48:44.753016,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
157,2025-06-02T12:48:44.753022,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
158,2025-06-02T12:48:44.753026,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
159,2025-06-02T12:48:44.753030,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
160,2025-06-02T12:48:44.753035,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
161,2025-06-02T12:48:44.753039,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
162,2025-06-02T12:48:44.753044,thanks,"{much appreciated,thanks a lot}",Glad I could help!
163,2025-06-02T12:48:44.753048,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
164,2025-06-02T12:48:44.753053,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
165,2025-06-02T12:48:44.753061,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
166,2025-06-02T12:48:44.753066,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
167,2025-06-02T12:48:44.753072,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
168,2025-06-02T12:48:44.753077,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
169,2025-06-02T12:48:44.753082,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
170,2025-06-02T12:48:44.753088,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
171,2025-06-02T12:48:44.753093,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
172,2025-06-02T12:48:44.753099,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
173,2025-06-02T12:48:44.753104,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
174,2025-06-02T12:48:44.753110,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
175,2025-06-02T12:48:44.753115,thanks,"{much appreciated,thanks a lot}",Glad I could help!
176,2025-06-02T12:48:44.753119,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
177,2025-06-02T12:48:44.753124,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
178,2025-06-02T12:48:44.753129,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
179,2025-06-02T12:48:44.753135,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
180,2025-06-02T12:48:44.753157,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
181,2025-06-02T12:48:44.753164,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
182,2025-06-02T12:48:44.753169,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
183,2025-06-02T12:48:44.753175,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
184,2025-06-02T12:48:44.753179,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
185,2025-06-02T12:48:44.753184,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
186,2025-06-02T12:48:44.753189,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
187,2025-06-02T12:48:44.753193,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
188,2025-06-02T12:48:44.753198,thanks,"{much appreciated,thanks a lot}",Glad I could help!
189,2025-06-02T12:48:44.753204,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
190,2025-06-02T12:48:44.753209,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
191,2025-06-02T12:48:44.753214,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
192,2025-06-02T12:48:44.753219,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
193,2025-06-02T12:48:44.753224,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
194,2025-06-02T12:48:44.753228,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
195,2025-06-02T12:48:44.753233,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
196,2025-06-02T12:48:44.753239,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
197,2025-06-02T12:48:44.753246,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
198,2025-06-02T12:48:44.753251,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
199,2025-06-02T12:48:44.753256,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
200,2025-06-02T12:48:44.753261,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
201,2025-06-02T12:48:44.753266,thanks,"{much appreciated,thanks a lot}",Glad I could help!
202,2025-06-02T12:48:44.753272,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
203,2025-06-02T12:48:44.753277,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
204,2025-06-02T12:48:44.753281,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
205,2025-06-02T12:48:44.753286,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
206,2025-06-02T12:48:44.753291,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
207,2025-06-02T12:48:44.753296,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
208,2025-06-02T12:48:44.753301,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
209,2025-06-02T12:48:44.753307,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
210,2025-06-02T12:48:44.753311,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
211,2025-06-02T12:48:44.753317,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
212,2025-06-02T12:48:44.753321,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
213,2025-06-02T12:48:44.753326,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
214,2025-06-02T12:48:44.753331,thanks,"{much appreciated,thanks a lot}",Glad I could help!
215,2025-06-02T12:48:44.753336,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
216,2025-06-02T12:48:44.753341,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
217,2025-06-02T12:48:44.753346,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
218,2025-06-02T12:48:44.753352,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
219,2025-06-02T12:48:44.753358,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
220,2025-06-02T12:48:44.753363,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
221,2025-06-02T12:48:44.753369,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
222,2025-06-02T12:48:44.753375,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
223,2025-06-02T12:48:44.753380,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
224,2025-06-02T12:48:44.753386,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
225,2025-06-02T12:48:44.753390,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
226,2025-06-02T12:48:44.753395,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
227,2025-06-02T12:48:44.753400,thanks,"{much appreciated,thanks a lot}",Glad I could help!
228,2025-06-02T12:48:44.753405,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
229,2025-06-02T12:48:44.753412,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
230,2025-06-02T12:48:44.753417,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
231,2025-06-02T12:48:44.753423,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
232,2025-06-02T12:48:44.753428,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
233,2025-06-02T12:48:44.753433,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
234,2025-06-02T12:48:44.753440,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
235,2025-06-02T12:48:44.753446,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
236,2025-06-02T12:48:44.753451,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
237,2025-06-02T12:48:44.753457,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
238,2025-06-02T12:48:44.753462,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
239,2025-06-02T12:48:44.753467,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
240,2025-06-02T12:48:44.753472,thanks,"{much appreciated,thanks a lot}",Glad I could help!
241,2025-06-02T12:48:44.753477,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
242,2025-06-02T12:48:44.753482,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
243,2025-06-02T12:48:44.753487,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
244,2025-06-02T12:48:44.753493,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
245,2025-06-02T12:48:44.753499,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
246,2025-06-02T12:48:44.753504,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
247,2025-06-02T12:48:44.753510,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
248,2025-06-02T12:48:44.753516,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
249,2025-06-02T12:48:44.753521,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
250,2025-06-02T12:48:44.753526,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
251,2025-06-02T12:48:44.753531,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
252,2025-06-02T12:48:44.753536,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
253,2025-06-02T12:48:44.753544,thanks,"{much appreciated,thanks a lot}",Glad I could help!
254,2025-06-02T12:48:44.753550,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
255,2025-06-02T12:48:44.753555,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
256,2025-06-02T12:48:44.753561,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
257,2025-06-02T12:48:44.753567,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
258,2025-06-02T12:48:44.753572,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
259,2025-06-02T12:48:44.753578,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
260,2025-06-02T12:48:44.753584,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
